,CD_MUN,latitude,longitude,municipio
156,4210506,-26.759973577360107,-53.19811282877847,Maravilha
157,4210555,-26.812382609184045,-52.630069576468934,Marema
158,4210605,-26.626911300757143,-48.98819178964745,Massaranduba
159,4210704,-26.481287587029858,-51.14183006698014,Matos Costa
160,4210803,-28.84175105997365,-49.60179372826444,Meleiro
161,4210852,-27.185593229141542,-50.175135877413425,Mirim Doce
162,4210902,-26.77477746640045,-53.05109629093748,Modelo
163,4211009,-27.09929258522074,-53.44649707854179,Mondaí
164,4211058,-27.1937349107742,-50.92753484296082,Monte Carlo
165,4211108,-26.660693783089588,-50.291540444204806,Monte Castelo
166,4211207,-28.637695962847626,-49.24286164427865,Morro da Fumaça
167,4211256,-28.72206489285062,-49.74048358458427,Morro Grande
168,4211306,-26.82874286660231,-48.72739585880501,Navegantes
169,4211405,-26.908168558958387,-52.90669278808881,Nova Erechim
170,4211454,-26.961141868867955,-52.83316646064405,Nova Itaberaba
171,4211504,-27.313268123121375,-49.04136677854023,Nova Trento
172,4211603,-28.684717891453886,-49.58491232010042,Nova Veneza
173,4211652,-26.494979246937564,-52.79636139882617,Novo Horizonte
174,4211702,-28.27993784715249,-49.37185982502813,Orleans
175,4211751,-27.517214351001314,-49.97162825462502,Otacílio Costa
176,4211801,-27.283436662769383,-51.68188570460702,Ouro
177,4211850,-26.711533463528756,-52.27875795891815,Ouro Verde
178,4211876,-27.21300274694801,-52.48786857820866,Paial
179,4211892,-27.96363041785285,-50.07213529549512,Painel
180,4211900,-27.77182146966105,-48.66170819531588,Palhoça
181,4212007,-26.37354381742908,-53.31452923662933,Palma Sola
182,4212056,-27.562593742205628,-50.1616144262276,Palmeira
183,4212106,-27.09262173445292,-53.179829065049795,Palmitos
184,4212205,-26.50242441247795,-50.1723622637524,Papanduva
185,4212239,-26.662800366381106,-53.67830388048522,Paraíso
186,4212254,-29.267247532606632,-49.72193226710953,Passo de Torres
187,4212270,-26.706082760208048,-51.96106257398024,Passos Maia
188,4212304,-27.96485520622319,-48.76016335634399,Paulo Lopes
189,4212403,-28.47942090733158,-49.20447504744034,Pedras Grandes
190,4212502,-26.807759800934015,-48.650764520912794,Penha
191,4212601,-27.35136072671339,-51.875058999568054,Peritiba
192,4212650,-28.401764026554133,-48.88364248038416,Pescaria Brava
193,4212700,-27.545740749165756,-49.68272426717698,Petrolândia
194,4212809,-26.759491595089575,-48.733290126728555,Balneário Piçarras
195,4212908,-26.829373480377633,-52.97663206995043,Pinhalzinho
196,4213005,-27.049431015415728,-51.23605423031415,Pinheiro Preto
197,4213104,-27.46121871446764,-51.77282038293217,Piratuba
198,4213153,-27.051964045168106,-52.868983175658315,Planalto Alegre
199,4213203,-26.728186239159662,-49.17330417894716,Pomerode
200,4213302,-27.410157104310596,-50.29874092136142,Ponte Alta
201,4213351,-27.180289058668134,-50.41856691670765,Ponte Alta do Norte
202,4213401,-26.861768575031704,-51.92821372642347,Ponte Serrada
203,4213500,-27.174795882021932,-48.61643450369326,Porto Belo
204,4213609,-26.38362840601625,-51.00778459817214,Porto União
205,4213708,-27.286165527361565,-49.977272039975205,Pouso Redondo
206,4213807,-29.181867687497547,-49.98950210163336,Praia Grande
207,4213906,-27.233334573923248,-51.7809355856458,Presidente Castello Branco
208,4214003,-27.06258379829857,-49.71442977022528,Presidente Getúlio
209,4214102,-27.268252905221093,-49.354952472708355,Presidente Nereu
210,4214151,-26.432945074493837,-53.611775698473636,Princesa
211,4214201,-26.729236446637557,-52.71798207770491,Quilombo
212,4214300,-27.67393150233846,-49.089880502958856,Rancho Queimado
213,4214409,-26.909076335888294,-51.063409436484186,Rio das Antas
214,4214508,-26.892306720822397,-50.13139401795918,Rio do Campo
215,4214607,-27.158976836165333,-49.84167276904675,Rio do Oeste
216,4214706,-26.61792661732718,-49.368384844168055,Rio dos Cedros
217,4214805,-27.196050867028834,-49.62995257034289,Rio do Sul
218,4214904,-28.09342423824744,-49.19056685602841,Rio Fortuna
219,4215000,-26.44271403183842,-49.596155798278296,Rio Negrinho
220,4215059,-27.914235029891643,-49.75337595029075,Rio Rufino
221,4215075,-26.978455061099254,-53.34435192618812,Riqueza
222,4215109,-26.895097082819174,-49.35103649063635,Rodeio
223,4215208,-26.648389532310617,-53.31712397583878,Romelândia
224,4215307,-26.96962326284445,-50.01068505920498,Salete
225,4215356,-26.590521643011794,-53.02227852519562,Saltinho
226,4215406,-26.895934975227195,-51.428018355843534,Salto Veloso
227,4215455,-28.65131474857763,-49.12583417040969,Sangão
228,4215505,-26.926037999151447,-50.44624009169733,Santa Cecília
229,4215554,-26.92195558857574,-53.61965218468821,Santa Helena
230,4215604,-28.01190657416012,-49.18186523393394,Santa Rosa de Lima
231,4215653,-29.121482522349368,-49.743750639484986,Santa Rosa do Sul
232,4215679,-26.667602877876757,-50.00529593803346,Santa Terezinha
233,4215687,-26.59274865073079,-53.16992504599359,Santa Terezinha do Progresso
234,4215695,-26.63087442406839,-52.69731235564567,Santiago do Sul
235,4215703,-27.741766116501967,-48.796550358051064,Santo Amaro da Imperatriz
236,4215752,-26.4876954650617,-52.98761130109326,São Bernardino
237,4215802,-26.294901587995746,-49.34998168331938,São Bento do Sul
238,4215901,-27.956554071439474,-48.93909777309912,São Bonifácio
239,4216008,-27.030109233268377,-53.03141183563582,São Carlos
240,4216057,-27.29520553690684,-50.349496512442265,São Cristóvão do Sul
241,4216107,-26.53938727845183,-52.55460248576241,São Domingos
242,4216206,-26.26159673750705,-48.64031938386047,São Francisco do Sul
243,4216255,-27.091607129863164,-53.59166414663414,São João do Oeste
244,4216305,-27.3289283421727,-48.859015927042506,São João Batista
245,4216354,-26.59105248462006,-48.79773346422953,São João do Itaperiú
246,4216404,-29.20556695305148,-49.81346773582506,São João do Sul
247,4216503,-28.298349165873432,-50.01398597874578,São Joaquim
248,4216602,-27.57847109713233,-48.65625577254402,São José
249,4216701,-26.48085134039229,-53.53373642407425,São José do Cedro
250,4216800,-27.598271651210737,-50.65026289681241,São José do Cerrito
251,4216909,-26.465488220200026,-52.859772864625924,São Lourenço do Oeste
252,4217006,-28.353134609105727,-49.16816231413642,São Ludgero
